Old,New
A-Shiraz,Shiraz (to 1846)
B-Isfahan,Isfahan (1846-1847)
C-Maku,Maku (1847)
D-Chihriq,Chihriq (1848-1850)
E-Baghdad,Baghdad (to 1863)
F-Adrianople,Edirne (1863-1868)
G-‘Akka,Akka (1868-1892)
H-Pre-Ministry,Pre-Ministry (to 1892)
I-Early Ministry,Early Ministry (1892-1910)
J-Western travels,Western travels (1910-1913)
K-Late Ministry,Late Ministry (1913-1921)
